ID,Name,Designator,Footprint,Quantity,Notes
1,X4611WV-04I-C28D40,"H1, H2, H4, H5, H7",HDR-TH_4P-P2.00-V-F,5,https://www.taydaelectronics.com/connectors-sockets/pin-headers/4-pin-2-00-mm-single-row-female-pin-header.html
2,X4611WV-05I-C28D40,"H3, H6",HDR-TH_5P-P2.00-V-F,2,https://www.taydaelectronics.com/connectors-sockets/pin-headers/5-pin-2-00-mm-single-row-female-pin-header.html
3,THONKICONN,"OUT-L, OUT-R, IN-1, SEND-1, IN-2, IN-3, IN-4",THONKICONN-TIGHT,7,
4,SUBMINI_SPDT ON-ON,"MUTE1, MUTE2, MUTE3, MUTE4",SUBMINI_TOGGLE,4,
5,SUBMINI_SPDT ON-OFF-ON,"SENDS1, SENDS2, SENDS3, SENDS4",SUBMINI_TOGGLE,8,
6,22k,"R39, R54, R77, R87",R0805,4,
7,10k,"R40, R42, R43, R55, R57, R58, R71, R74, R76, R81, R84, R86",R0805,12,
8,1k,"R41, R45, R46, R56, R60, R61, R70, R72, R75, R80, R82, R85",R0805,12,
9,3.3k,"R44, R59, R73, R83",R0805,4,
10,A10K,VR2,Song Huei Tall Trimmer,1,
11,B10K-DUAL,"VR1G$1, VR1G$2, VR1G$3, VR1G$4",DUAL_9MM_SNAP-IN_POT-TIGHT,4,
